日期,收盘价,涨跌幅
0,2021-02-05,253.64,-15.11
1,2021-02-08,261.78,3.21
2,2021-02-09,265.17,1.29
3,2021-02-10,277.80,4.76
4,2021-02-18,266.31,-4.14
5,2021-02-19,263.20,-1.17
6,2021-02-22,248.81,-5.47
7,2021-02-23,253.09,1.72
8,2021-02-24,233.12,-7.89
9,2021-02-25,229.58,-1.52
10,2021-02-26,236.00,2.80
11,2021-03-01,238.43,1.03
12,2021-03-02,243.00,1.92
13,2021-03-03,245.16,0.89
14,2021-03-04,210.57,-14.11
15,2021-03-05,216.50,2.82
16,2021-03-08,202.57,-6.43
17,2021-03-09,195.30,-3.59
18,2021-03-10,200.30,2.56
19,2021-03-11,210.07,4.88
20,2021-03-12,213.10,1.44
21,2021-03-15,188.93,-11.34
22,2021-03-16,182.10,-3.62
23,2021-03-17,184.80,1.48
24,2021-03-18,183.93,-0.47
25,2021-03-19,172.80,-6.05
26,2021-03-22,176.00,1.85
27,2021-03-23,174.74,-0.72
28,2021-03-24,166.80,-4.54
29,2021-03-25,169.48,1.61
30,2021-03-26,181.81,7.28
31,2021-03-29,178.37,-1.89
32,2021-03-30,204.75,14.79
33,2021-03-31,205.87,0.55
34,2021-04-01,215.80,4.82
35,2021-04-02,211.30,-2.09
36,2021-04-06,206.50,-2.27
37,2021-04-07,196.10,-5.04
38,2021-04-08,196.09,-0.01
39,2021-04-09,189.25,-3.49
40,2021-04-12,185.83,-1.81
41,2021-04-13,185.80,-0.02
42,2021-04-14,191.13,2.87
43,2021-04-15,187.30,-2.00
44,2021-04-16,187.30,0.00
45,2021-04-19,193.50,3.31
46,2021-04-20,204.31,5.59
47,2021-04-21,204.87,0.27
48,2021-04-22,211.94,3.45
49,2021-04-23,217.30,2.53
50,2021-04-26,229.10,5.43
51,2021-04-27,239.81,4.67
52,2021-04-28,233.25,-2.74
53,2021-04-29,241.20,3.41
54,2021-04-30,250.18,3.72
55,2021-05-06,255.30,2.05
56,2021-05-07,243.60,-4.58
57,2021-05-10,236.80,-2.79
58,2021-05-11,226.34,-4.42
59,2021-05-12,237.02,4.72
60,2021-05-13,227.80,-3.89
61,2021-05-14,228.79,0.43
62,2021-05-17,240.29,5.03
63,2021-05-18,237.61,-1.12
64,2021-05-19,253.10,6.52
65,2021-05-20,246.97,-2.42
66,2021-05-21,266.80,8.03
67,2021-05-24,267.55,0.28
68,2021-05-25,262.81,-1.77
69,2021-05-26,249.93,-4.90
70,2021-05-27,251.94,0.80
71,2021-05-28,245.79,-2.44
72,2021-05-31,258.77,5.28
73,2021-06-01,248.84,-3.84
74,2021-06-02,232.06,-6.74
75,2021-06-03,226.00,-2.61
76,2021-06-04,223.81,-0.97
77,2021-06-07,212.65,-4.99
78,2021-06-08,214.30,0.78
79,2021-06-09,221.00,3.13
80,2021-06-10,246.95,11.74
81,2021-06-11,262.50,6.30
82,2021-06-15,259.25,-1.24
83,2021-06-16,241.66,-6.78
84,2021-06-17,249.15,3.10
85,2021-06-18,258.00,3.55
86,2021-06-21,278.98,8.13
87,2021-06-22,283.80,1.73
88,2021-06-23,290.41,2.33
89,2021-06-24,302.58,4.19
90,2021-06-25,306.88,1.42
91,2021-06-28,322.66,5.14
92,2021-06-29,343.00,6.30
93,2021-06-30,334.00,-2.62
94,2021-07-01,325.00,-2.69
95,2021-07-02,321.60,-1.05
96,2021-07-05,335.20,4.23
97,2021-07-06,320.20,-4.47
98,2021-07-07,347.28,8.46
99,2021-07-08,345.38,-0.55
